image,class,confidence
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-104-1.BMP,glue,0.5634745359420776
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-106-1.BMP,glue,0.7219359874725342
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-108-1.BMP,glue,0.7365560531616211
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-110-1.BMP,glue,0.7339260578155518
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-112-1.BMP,glue,0.6175578236579895
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-114-1.BMP,glue,0.5046406388282776
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-134-1.BMP,glue,0.7634680867195129
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-158-1.BMP,glue,0.5240085124969482
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-174-1.BMP,glue,0.6962301135063171
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-176-1.BMP,glue,0.2558358907699585
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-186-1.BMP,glue,0.6736019253730774
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-190-1.BMP,glue,0.4688996374607086
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-192-1.BMP,glue,0.5727564692497253
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-194-1.BMP,glue,0.7170698046684265
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-196-1.BMP,glue,0.6717110872268677
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-210-1.BMP,glue,0.6541092395782471
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-212-1.BMP,glue,0.6439834237098694
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-212-1.BMP,glue,0.5245886445045471
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-212-1.BMP,glue,0.4579502046108246
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-214-1.BMP,glue,0.7093721032142639
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-216-1.BMP,glue,0.7004013657569885
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-218-1.BMP,glue,0.7084017992019653
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-220-1.BMP,glue,0.2567739188671112
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-222-1.BMP,glue,0.7515291571617126
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-230-1.BMP,glue,0.7774746417999268
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-36-1.BMP,glue,0.6657799482345581
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-38-1.BMP,glue,0.7278669476509094
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-40-1.BMP,glue,0.692861795425415
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-42-1.BMP,glue,0.5075716972351074
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-42-1.BMP,glue,0.29296809434890747
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-44-1.BMP,glue,0.7498968839645386
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-46-1.BMP,glue,0.6705033183097839
/cms/user/huangsuyun/yolov8/2025_9_15/MLF3WCIH0209_before_bonding_front/module_after_bonding_front_check_weaklight_haozhong-48-1.BMP,glue,0.7035192847251892
